视频标题,UP主,详情页URL,播放量,播放量(数值),弹幕数,弹幕数(数值),视频时长,页面展示发布时间,规范化发布日期,热度指标
genji真想教会你,GenJi是真想教会你AI,https://www.bilibili.com/video/BV1wENtzkEAq?image_material_id=2000000050288702&from_bcg=bcg_11_2001787294&trackid=5230231693204768979&creative_id=2001787294&title_encode=genji%E7%9C%9F%E6%83%B3%E6%95%99%E4%BC%9A%E4%BD%A0&track_id=pbaes.05unsM5UOtOZYnIsBzgBGMt18O-xqz_GI7L8LqzobhxiPNtkpLCey-VV5JXcoTZ6PH_cmNRgxyH5hGztCkSagThgeT_PwcAsodNMWNJrI4uJVGWcehdS_0B-kDCC0ru3cPnmHIBi8B-slj4TTYP9QOa0ecLJtPr9TQ5B1HsUNZWN17WGJDhCMRS8ae6s3i6F&caid=__CAID__&resource_id=__RESOURCEID__&source_id=5647&from_spmid=__FROMSPMID__&request_id=1782110800421q10a88a93a101q1056&title_material_id=104566267&linked_creative_id=2068633308&biz_extra=%7B%22ad_play_page%22%3A1%7D,256.1万,2561000,190,190,02:46,· 2025-06-19,2025-06-19,2562900
9分钟搞定！Claude Code 保姆级安装+原理+真实用法（国内直连）,人工大黑,https://www.bilibili.com/video/BV1KjoxBoEQJ/,124.3万,1243000,1.3万,13000,02:02:50,· 04-22,2026-04-22,1373000
零基础Vibe Coding教程，vibecoding实战，Claude Code+Codex+Cursor,尚硅谷,https://www.bilibili.com/video/BV1RPET6tEp2/,46.0万,460000,1425,1425,13:33:10,· 06-09,2026-06-09,474250
用trae+uniapp开发一个扫码点餐小程序？30分钟超高质量教学,智码侃侃Tom,https://www.bilibili.com/video/BV1BmyWBCE2j/,17.0万,170000,251,251,28:57,· 2025-10-29,2025-10-29,172510
【熠辉】面向新手的Vibe Coding实战课,熠辉IndieDev,https://www.bilibili.com/cheese/play/ss717254091?query_from=0&search_id=5230231693204768979&search_query=vibecoding&csource=common_hpsearch_null_null,16.5万,165000,0,0,,,,165000
什么是Vibe Coding，以及怎么使用？,清华姜学长,https://www.bilibili.com/video/BV16NvCBrEVs/,15.5万,155000,90,90,05:54,· 2025-12-28,2025-12-28,155900
Vibe Coding纯小白教程：对AI说话就做出软件。手把手带你做出1个软件！,大牙大-,https://www.bilibili.com/video/BV1BvR1BtEFD/,14.3万,143000,89,89,15:46,· 05-05,2026-05-05,143890
VibeCoding就该这么做！,隔壁的程序员老王,https://www.bilibili.com/video/BV1YP5W6ZEP9/,7.9万,79000,104,104,13:16,· 05-14,2026-05-14,80040
如何指挥AI团队，做出一个完整跑腿平台？多端联动开发教学,智码侃侃Tom,https://www.bilibili.com/video/BV1mYZgBXE9e/,5.7万,57000,126,126,38:20,· 02-17,2026-02-17,58260
26 年 AI 编程学习路线一条龙，8 分钟速通！,程序员鱼皮,https://www.bilibili.com/video/BV1z6LR6tEum/,5.1万,51000,113,113,08:04,· 06-17,2026-06-17,52130
